second,Volt1,Volt2,Volt3,Volt4
-0.00497296,0.055499496,5.92E-02,4.09E-02,2.59E-02
-0.0049728,0.053489446,6.12E-02,4.09E-02,2.59E-02
-0.00497264,0.053489446,6.12E-02,4.09E-02,2.80E-02
-0.00497248,0.055499496,5.92E-02,4.09E-02,2.80E-02
-0.00497232,0.055499496,5.92E-02,4.09E-02,2.80E-02
-0.00497216,0.055499496,6.12E-02,4.09E-02,2.80E-02
-0.004972,0.055499496,5.92E-02,4.09E-02,2.80E-02
-0.00497184,0.053489446,6.12E-02,4.29E-02,2.59E-02
-0.00497168,0.055499496,6.12E-02,4.09E-02,2.80E-02
-0.00497152,0.053489446,5.92E-02,4.09E-02,2.59E-02
-0.00497136,0.055499496,5.92E-02,4.29E-02,2.80E-02
-0.0049712,0.053489446,6.12E-02,4.09E-02,2.80E-02
-0.00497104,0.055499496,6.12E-02,4.09E-02,2.80E-02
-0.00497088,0.053489446,5.92E-02,4.09E-02,2.80E-02
-0.00497072,0.055499496,5.92E-02,4.09E-02,2.80E-02
-0.00497056,0.053489446,6.12E-02,4.09E-02,2.59E-02
-0.0049704,0.053489446,5.92E-02,4.09E-02,2.59E-02
-0.00497024,0.055499496,6.12E-02,3.89E-02,2.80E-02
-0.00497008,0.053489446,6.12E-02,4.09E-02,2.80E-02
-0.00496992,0.055499496,5.92E-02,4.09E-02,2.80E-02
-0.00496976,0.053489446,5.92E-02,4.09E-02,2.80E-02
-0.0049696,0.055499496,5.92E-02,4.09E-02,2.80E-02
-0.00496944,0.055499496,6.12E-02,3.89E-02,2.80E-02
-0.00496928,0.053489446,5.92E-02,4.29E-02,2.80E-02
-0.00496912,0.055499496,5.72E-02,4.09E-02,2.59E-02
-0.00496896,0.053489446,5.92E-02,4.09E-02,2.59E-02
-0.0049688,0.055499496,6.12E-02,4.09E-02,2.80E-02
-0.00496864,0.053489446,6.12E-02,4.29E-02,2.80E-02
-0.00496848,0.055499496,6.12E-02,4.09E-02,2.59E-02
-0.00496832,0.055499496,5.92E-02,4.09E-02,2.80E-02
-0.00496816,0.053489446,5.92E-02,3.89E-02,2.80E-02
-0.004968,0.053489446,5.92E-02,4.09E-02,2.80E-02
-0.00496784,0.053489446,5.92E-02,4.29E-02,2.59E-02
-0.00496768,0.055499496,6.12E-02,4.29E-02,2.59E-02
-0.00496752,0.053489446,6.12E-02,4.09E-02,2.80E-02
-0.00496736,0.055499496,5.92E-02,4.29E-02,2.80E-02
-0.0049672,0.053489446,6.12E-02,4.09E-02,2.59E-02
-0.00496704,0.055499496,5.92E-02,4.09E-02,2.59E-02
